FUNVTA_VTAR5040.SCX                                          ReporteAnualArticuloClienteMoneda
CCB_CCBTCONC_ND.SCX                                          ConceptosNotasDebito
ALM_ALMPTSAL.SCX                                             frsAlmptsal1
CJA_INGRESO_COBRANZA.SCX                                     Formset1
CJA_CJACCPAG.SCX                                             ConsultaCuentasPorPagar
CJA_CJACCPAG1.SCX                                            ConsultaCuentasPorPagarDetalle
CJA_CJACHQVO.SCX                                             ReporteChequeVoucher
CJA_CJAMCTAS.SCX                                             CuentasCaja
CJA_CJAMTOPE.SCX                                             OperacionesCaja
CJA_CJASALDO.SCX                                             ConsultaSaldoBancos
CJA_CJATIPRP.SCX                                             ReporteTipoVoucherCaja
CJA_CJATPORP.SCX                                             ReporteVoucherCaja
COMPR11_SCOT.SCX                                             COMPR11_SCOT
CPIPFORM.SCX                                                 _1KT039775
FORM1.SCX                                                    form1
FORM_FONDO.SCX                                               Base_form1
FORM_PRUEBA.SCX                                              Base_form1
FUNALM_CAT_MATERIALES.SCX                                    CatalogoMateriales
FUNALM_CAT_MATERIALES1.SCX                                   ReporteCatalogoMateriales
FUNALM_CONFIG_INGRESOS.SCX                                   ConfiguracionIngresosAlmacen
FUNALM_CHEQUEO_TRANSACCIONES.SCX                             ChequeoTransacciones
FUNALM_CONFIG_SALIDAS.SCX                                    ConfiguracionSalidasAlmacen
FUNALM_DIV_FAMILIA.SCX                                       DivisionFamilia
FUNALM_CONTROL_DE_DOCUMENTOS.SCX                             ReporteControlDocumentos
FUNALM_CORRELATIVO_DE_DOCUMENTOS.SCX                         CorrelativoDocumentosAlmacen
FUNALM_CORRELATIVO_GRAL_DOCS.SCX                             CorrelativoGeneralAlmacen
FUNALM_KARDEX_GENERAL.SCX                                    ReporteKardexGeneral
FUNALM_DIV_FAMILIA_NEW.SCX                                   Base_form1
FUNALM_EXISTENCIAS_GENERALES.SCX                             ReporteExistenciasGenerales
FUNALM_EXISTENCIAS_GENERALES_X_LOTE.SCX                      ReporteExistenciasGeneralesLote
FUNALM_EXISTENCIAS_X_ALMACEN.SCX                             ReporteExistenciasGeneralesAlmacen
FUNALM_EXISTENCIAS_X_ALMACEN_LOTE.SCX                        ReporteExistenciasGeneralesAlmacenLote
FUNALM_INGRESOS_VALORIZADOS.SCX                              ReporteIngresosValorizados
FUNALM_KG_OTROS.SCX                                          SeleccionaTipoMaterial
FUNALM_KARDEX_X_ALMACEN.SCX                                  ReporteKardexAlmacen
FUNALM_PROVEEDORES.SCX                                       Proveedores
FUNALM_MATERIALES_BAJO_STOCK_MINIMO.SCX                      ReporteBajoStockMinimo
FUNALM_MATERIALES_BAJO_STOCK_REPOSICION.SCX                  ReporteBajoStockReposicion
FUNALM_MATERIALES_STOCK_CERO.SCX                             ReporteStockCero
FUNALM_MATERIALES_X_ALMACEN.SCX                              MaterialesPorAlmacen
FUNALM_MATERIALES_X_ALMACEN1.SCX                             ReporteMaterialesPorAlmacen
FUNALM_SUB_FAMILIA.SCX                                       SubFamilia
FUNALM_RECALCULO_STOCK_Y_VALOR.SCX                           RecalculoStockyValor
FUNALM_STOCK_CONSOLIDADO.SCX                                 ReporteStockConsolidado
FUNALM_STOCK_MINIMO_MENSUAL.SCX                              StockMinimoMensual
FUNALM_TRANSACCIONES.SCX                                     TransaccionesAlmacen
FUNVTA_VTAR4800.SCX                                          ReporteDiarioVentas
FUNALM_TRANSACCIONES2.SCX                                    funalm_transacciones
FUNALM_TRANSACCIONES_VTA.SCX                                 GuiaRemision
FUNALM_VALORES_Y_STOCK_ACTUAL.SCX                            Base_form1
FUNALM_VALORES_Y_STOCK_INICIAL.SCX                           ValorStockInicial
FUNALM_VALORIZACION_GENERAL.SCX                              ReporteExistenciasValorizadas
FUNALM_VALORIZACION_X_ALMACEN.SCX                            ReporteExistenciasValorizadasAlmacen
FUNCCT_CAT_CLIENTES.SCX                                      Clientes
CBD_CBDRECEP.SCX                                             RecepcionDocumentos
FUNFUN_CAT_DISTRITOS.SCX                                     Distritos
FUNCMP_CAT_PROVEEDORES.SCX                                   Base_form1
FUNCMP_CAT_PROVEEDORES1.SCX                                  Base_form1
FUNFUN_CAT_PAISES.SCX                                        Paises
FUNFUN_CAT_PREDIOS.SCX                                       Sedes
FUNFUN_CAT_ZONAS.SCX                                         Zonas
FUNFUN_CAT_PREDIOS01.SCX                                     Base_form1
FUNFUN_COMPAÑIAS.SCX                                         Empresas
FUNFUN_SELEC_COBRAR.SCX                                      LoginCobrar
CCB_SEGUIMIENTO.SCX                                          Formset1
CJA_INGRESO_CONTADO.SCX                                      Formset1
FUNFUN_TIPO_DE_CAMBIO.SCX                                    TipoCambio
FUNFUN_SELEC_PRODUCCION.SCX                                  LoginPlanilla
FUNFUN_TIPO_DE_CAMBIO1.SCX                                   ReporteTipoCambio
FUNGEN2_PRINCIPAL.SCX                                        Principal
FUNLOG_REQUISICION.SCX                                       Requisiciones
FUNPRO_CAT_ACTIVIDADES.SCX                                   ActividadesProduccion
FUNPLN_MAESTRO_DE_PERSONAL.SCX                               MaestroPersonalProduccion
FUNPLN_MAESTRO_DE_PERSONAL1.SCX                              ReportePersonalProduccion
FUNPRO_ACTIVIDADES_X_PROCESO.SCX                             ActividadesProceso
FUNPRO_CAT_CULTIVOS.SCX                                      Cultivos
FUNPRO_CAT_FASES.SCX                                         Fases
FUNPRO_CAT_LOTES.SCX                                         PrediosLotes
FUNPRO_CAT_PROCESOS.SCX                                      ProcesosProduccion
FUNPRO_CULTIVOS_X_LOTE.SCX                                   CultivosPorLote
FUNPRO_CONSUMO_MAT_DIRECTO.SCX                               ReporteConsumoMateriaPrima
FUNPRO_CONTROL_DE_TRATAMIENTOS.SCX                           ReporteControlTratamientos
FUNPRO_ORDEN_TRABAJO.SCX                                     OrdenTrabajoProduccion
FUNPRO_PARTE_DIARIO.SCX                                      ParteDiarioProduccion
FUNVTA_VTACARTA.SCX                                          CartaPresentacion
FUNPRO_REPROCESO_PARTE_DIARIO.SCX                            ReprocesoOrdenesTrabajo
FUNPRO_RESUMEN_X_ACTIVIDAD.SCX                               ReporteResumenActividad
FUNPRO_RESUMEN_X_COMBUSTIBLE.SCX                             ReporteResumenCombustible
FUNPRO_RESUMEN_X_FUMIGACIÓN.SCX                              Base_form1
FUNPRO_RESUMEN_X_MANO_OBRA.SCX                               ReporteResumenManoObra
FUNVTA_VTACDOCM.SCX                                          CorrelativoVentas
FUNVTA_VTAMTABL.SCX                                          TablasSistemaVentas
FUNVTA_VTAP1500.SCX                                          ListaPrecios
FUNVTA_VTAMTABL_DETALLE.SCX                                  TablasSistemaVentasDetalle
FUNVTA_VTAR4100.SCX                                          ReporteRegistroVentas
VTA_TRANSPORTISTAS.SCX                                       Transportistas
FUNVTA_VTAR4250.SCX                                          ReporteGuiasRemision
FUNVTA_VTAR4200.SCX                                          Base_form1
VTA_LIQUIDACION_VENDEDORES.SCX                               Formset1
VTA_VTAR4810.SCX                                             ImpresionRangoVentas
FUNCBD_CAT_ACTIVO_FIJO.SCX                                   ActivoFijo
FUNVTA_VTAR4900.SCX                                          ReporteMargenVentas
FUNVTA_VTAR5010.SCX                                          ReporteAnualClienteArticuloCantidades
FUNVTA_VTAR5020.SCX                                          ReporteAnualArticuloClienteCantidades
FUNVTA_VTAVENDE.SCX                                          Vendedores
FUNVTA_VTAR5030.SCX                                          ReporteClienteArticuloMoneda
CCB_LETRAS_RESPON.SCX                                        Formset1
PLN_PLNRP012.SCX                                             ReportePersonalAFP
INT_PROCESO_MAESTRO.SCX                                      Formset1
MTO_ACTIVO_MAQUINAS.SCX                                      FrmActivosMaquina
MTO_CARACTERISTICAS.SCX                                      frmSistemas
MTO_CORRELATIVOS.SCX                                         frmCorrelativos
MTO_DET_ORDEN_SERVICIOS.SCX                                  Base_form1
MTO_EMPRESAS.SCX                                             Base_form1
MTO_ESPECIALIDAD.SCX                                         FrmMtoespec
MTO_MANTE_X_EQUIPO.SCX                                       Base_form1
MTO_MATERIALES_X_MAQUINA.SCX                                 MTO_MATERIALES_X_MAQUINA
MTO_ORDEN_SERVICIO.SCX                                       MTO_ORDEN_SERVICIO
MTO_ORDEN_TRABAJO.SCX                                        mto_orden_trabajo
MTO_OT_AVANCE.SCX                                            Avc
MTO_PERSONAL.SCX                                             FrmMtotpact
MTO_PROVEEDORES.SCX                                          Base_form1
MTO_PUNTOS_CONTROL_MAQUINA.SCX                               FrmAdjudicaciones
MTO_PUNTOS_CONTROL_MAQUINA_ACTIVIDAD.SCX                     FrmAdjudicaciones
MTO_REAL_X_EQUIPO.SCX                                        MTO_REAL_X_EQUIPO
MTO_SECCIONES_POR_EQUIPO.SCX                                 FrmAdjudicaciones
MTO_SISTEMAS.SCX                                             frmSistemas
MTO_SISTEMAS_DETALLE.SCX                                     Base_form1
MTO_TABLAS.SCX                                               Base_form1
MTO_TABLAS_DETALLE.SCX                                       Base_form1
MTO_TIPO_ACTIVO.SCX                                          FrmMtotpact
MTO_TIPO_MAQUINA.SCX                                         FrmMtotpmaq
CPI_FORMULACION_01.SCX                                       Formulacion
PLN_PLNSTPER.SCX                                             SituacionPersonal
PLN_PLNRP002.SCX                                             ReporteHaberesFijos
PLN_PLNMONVA.SCX                                             VariablesGeneralesCalculo
PLN_PLNMTSEM.SCX                                             SemanasPlanilla
PLN_PLNMPERS.SCX                                             MaestroPersonal
CMP_CMPR420B.SCX                                             ReporteOrdenCompra
PLN_PLNMTABL_DETALLE.SCX                                     TablasPlanillaDetalle
PLN_PLNMPCTS.SCX                                             PeriodoCTS
PLN_PLNREBOL.SCX                                             ReporteBoletaPago
PLN_PLNTMOVT.SCX                                             VariablesRegistroPlanilla
PLN_PLNTTCMB.SCX                                             TipoCambioPlanilla
VTA_ADJUDICACIONES.SCX                                       AdjudicacionesVentas
VTA_COMPETENCIA.SCX                                          Competencia
VTA_COMPETENCIA_PRECIO.SCX                                   PreciosCompetencia
VTA_EQUIVALENCIAS.SCX                                        EquivalenciasUnidadesMedida
VTA_LIQUIDACION.SCX                                          LiquidacionVentasContado
VTA_VTAP3200.SCX                                             TransaccionesVentas
FUNVTA_VTAR4510.SCX                                          ReporteVentasClienteArticulo
VTA_VTAR4820.SCX                                             ReporteDespachos
VTA_VTAR4830.SCX                                             ReporteComisionesVendedor
ALM_ALMKARTA.SCX                                             ConsultaKardex
PLN_PLNMTABL.SCX                                             TablasSistemaPlanilla
CBD_CBDMTABL_DETALLE.SCX                                     TablasSistemaContableDetalle
FUNALM_CAT_ALMACENES.SCX                                     Almacenes
PLN_PLNRP006.SCX                                             Base_form1
FUNFUN_SELEC_COMPRA.SCX                                      LoginCompra
CCB_LIQUIDACION.SCX                                          Formset1
CBD_CBDTCNFG.SCX                                             ConfiguracionAjustes
FUNFUN_SELEC_PLANILLA.SCX                                    LoginPlanilla
CCB_LIQUIDACION_VTA.SCX                                      Formset1
FUNFUN_SELEC_ALMACEN.SCX                                     LoginAlmacen
PLN_PLNRP001.SCX                                             ReporteSituacionPersonal
CJA_TPOCHEQU.SCX                                             FormatoChequeBanco
ADM_SISTEMAS.SCX                                             Base_form1
CBD_CBDPLNOR.SCX                                             OrdenCuentasAsientosPlanillas
PLN_PLNTRAS1.SCX                                             Base_form1
GER_GERMAJUI.SCX                                             Base_form1
GER_GERDETJU.SCX                                             Base_form1
ADM_EMPRESAS.SCX                                             Base_form1
FUNVTA_VTAR410L.SCX                                          ReporteRegistroLetras
FUNCCT_CAT_CLIENTES1.SCX                                     ReporteClientes
CMP_CMPGOCN.SCX                                              Formset1
GER_GERCONJU.SCX                                             Base_form1
LOG_REQUISICION.SCX                                          LogRequisiciones
LOG_CMPTDOCM.SCX                                             Base_form1
PLN_PLNRP052.SCX                                             TransferenciaDJT
PLN_PLNRP051.SCX                                             ReporteHaberesBancos
PLN_PLNRP004.SCX                                             Base_form1
VTA_VTACONFG.SCX                                             ValoresGlobalesVentas
PLN_PLNRP003.SCX                                             Base_form1
PLN_PLNMMOVT.SCX                                             MovimientosPersonal
CCB_LETRAS_RESPONBANCO.SCX                                   Formset1
